    number     Model         p     sigma         A      B_NH      B_NL       b_h      mu_N      mu_I      mu_h   alpha_H   alpha_L  lambda_h     shock
        15         3    0.1125    2.0000    0.1190    2.2651    1.0000    1.0000    2.3619    9.0135  193.5608    0.9026    0.2797    0.7675    0.7853
        16         3    0.1125    2.0000    0.1190    2.2651    1.0000    1.0000    2.3619    9.0135  193.5608    0.9026    0.2797    0.7675    0.7853
        17         3    0.1125    2.0000    0.1190    2.2651    1.0000    1.0000    2.3619    9.0135  193.5608    0.9026    0.2797    0.7675    0.7853
        18         3    0.1125    2.0000    0.1190    2.2651    1.0000    1.0000    2.3619    9.0135  193.5608    0.9026    0.2797    0.7675    0.7853
        19         3    0.1125    2.0000    0.1190    2.2651    1.0000    1.0000    2.3619    9.0135  193.5608    0.9026    0.2797    0.7675    0.7853
        20         3    0.1125    2.0000    0.1190    2.2651    1.0000    1.0000    2.3619    9.0135  193.5608    0.9026    0.2797    0.7675    0.7853
        21         3    0.1125    2.0000    0.1190    2.2651    1.0000    1.0000    2.3619    9.0135  193.5608    0.9026    0.2797    0.7675    0.7853
        22         3    0.1125    2.0000    0.1190    2.2651    1.0000    1.0000    2.3619    9.0135  193.5608    0.9026    0.2797    0.7675    0.7853
        23         3    0.1125    2.0000    0.1190    2.2651    1.0000    1.0000    2.3619    9.0135  193.5608    0.9026    0.2797    0.7675    0.7853
        24         3    0.1125    2.0000    0.1190    2.2651    1.0000    1.0000    2.3619    9.0135  193.5608    0.9026    0.2797    0.7675    0.7853
        25         3    0.1125    2.0000    0.1190    2.2651    1.0000    1.0000    2.3619    9.0135  193.5608    0.9026    0.2797    0.7675    0.7853
        26         3    0.1125    2.0000    0.1190    2.2651    1.0000    1.0000    2.3619    9.0135  193.5608    0.9026    0.2797    0.7675    0.7853
        27         3    0.1125    2.0000    0.1190    2.2651    1.0000    1.0000    2.3619    9.0135  193.5608    0.9026    0.2797    0.7675    0.7853
        28         3    0.1125    2.0000    0.1190    2.2651    1.0000    1.0000    2.3619    9.0135  193.5608    0.9026    0.2797    0.7675    0.7853
        29         3    0.1125    2.0000    0.1190    2.2651    1.0000    1.0000    2.3619    9.0135  193.5608    0.9026    0.2797    0.7675    0.7853
        30         3    0.1125    2.0000    0.1190    2.2651    1.0000    1.0000    2.3619    9.0135  193.5608    0.9026    0.2797    0.7675    0.7853
        31         3    0.1125    2.0000    0.1190    2.2651    1.0000    1.0000    2.3619    9.0135  193.5608    0.9026    0.2797    0.7675    0.7853
        32         3    0.1125    2.0000    0.1190    2.2651    1.0000    1.0000    2.3619    9.0135  193.5608    0.9026    0.2797    0.7675    0.7853
        33         3    0.1125    2.0000    0.1190    2.2651    1.0000    1.0000    2.3619    9.0135  193.5608    0.9026    0.2797    0.7675    0.7853
        34         3    0.1125    2.0000    0.1190    2.2651    1.0000    1.0000    2.3619    9.0135  193.5608    0.9026    0.2797    0.7675    0.7853
        35         3    0.1125    2.0000    0.1190    2.2651    1.0000    1.0000    2.3619    9.0135  193.5608    0.9026    0.2797    0.7675    0.7853
        36         3    0.1125    2.0000    0.1190    2.2651    1.0000    1.0000    2.3619    9.0135  193.5608    0.9026    0.2797    0.7675    0.7853
        37         3    0.1125    2.0000    0.1190    2.2651    1.0000    1.0000    2.3619    9.0135  193.5608    0.9026    0.2797    0.7675    0.7853
        38         3    0.1125    2.0000    0.1190    2.2651    1.0000    1.0000    2.3619    9.0135  193.5608    0.9026    0.2797    0.7675    0.7853
        39         3    0.1125    2.0000    0.1190    2.2651    1.0000    1.0000    2.3619    9.0135  193.5608    0.9026    0.2797    0.7675    0.7853
        40         3    0.1125    2.0000    0.1190    2.2651    1.0000    1.0000    2.3619    9.0135  193.5608    0.9026    0.2797    0.7675    0.7853
        41         3    0.1125    2.0000    0.1190    2.2651    1.0000    1.0000    2.3619    9.0135  193.5608    0.9026    0.2797    0.7675    0.7853
        42         3    0.1125    2.0000    0.1190    2.2651    1.0000    1.0000    2.3619    9.0135  193.5608    0.9026    0.2797    0.7675    0.7853
        43         3    0.1125    2.0000    0.1190    2.2651    1.0000    1.0000    2.3619    9.0135  193.5608    0.9026    0.2797    0.7675    0.7853
        44         3    0.1125    2.0000    0.1190    2.2651    1.0000    1.0000    2.3619    9.0135  193.5608    0.9026    0.2797    0.7675    0.7853
        45         3    0.1125    2.0000    0.1190    2.2651    1.0000    1.0000    2.3619    9.0135  193.5608    0.9026    0.2797    0.7675    0.7853
        46         3    0.1125    2.0000    0.1190    2.2651    1.0000    1.0000    2.3619    9.0135  193.5608    0.9026    0.2797    0.7675    0.7853
        47         3    0.1125    2.0000    0.1190    2.2651    1.0000    1.0000    2.3619    9.0135  193.5608    0.9026    0.2797    0.7675    0.7853
        48         3    0.1125    2.0000    0.1190    2.2651    1.0000    1.0000    2.3619    9.0135  193.5608    0.9026    0.2797    0.7675    0.7853
        49         3    0.1125    2.0000    0.1190    2.2651    1.0000    1.0000    2.3619    9.0135  193.5608    0.9026    0.2797    0.7675    0.7853
        50         3    0.1125    2.0000    0.1190    2.2651    1.0000    1.0000    2.3619    9.0135  193.5608    0.9026    0.2797    0.7675    0.7853
        51         3    0.1125    2.0000    0.1190    2.2651    1.0000    1.0000    2.3619    9.0135  193.5608    0.9026    0.2797    0.7675    0.7853
        52         3    0.1125    2.0000    0.1190    2.2651    1.0000    1.0000    2.3619    9.0135  193.5608    0.9026    0.2797    0.7675    0.7853
        53         3    0.1125    2.0000    0.1190    2.2651    1.0000    1.0000    2.3619    9.0135  193.5608    0.9026    0.2797    0.7675    0.7853
        54         3    0.1125    2.0000    0.1190    2.2651    1.0000    1.0000    2.3619    9.0135  193.5608    0.9026    0.2797    0.7675    0.7853
        55         3    0.1125    2.0000    0.1190    2.2651    1.0000    1.0000    2.3619    9.0135  193.5608    0.9026    0.2797    0.7675    0.7853
        56         3    0.1125    2.0000    0.1190    2.2651    1.0000    1.0000    2.3619    9.0135  193.5608    0.9026    0.2797    0.7675    0.7853
        57         3    0.1125    2.0000    0.1190    2.2651    1.0000    1.0000    2.3619    9.0135  193.5608    0.9026    0.2797    0.7675    0.7853
        58         3    0.1125    2.0000    0.1190    2.2651    1.0000    1.0000    2.3619    9.0135  193.5608    0.9026    0.2797    0.7675    0.7853
        59         3    0.1125    2.0000    0.1190    2.2651    1.0000    1.0000    2.3619    9.0135  193.5608    0.9026    0.2797    0.7675    0.7853
        60         3    0.1125    2.0000    0.1190    2.2651    1.0000    1.0000    2.3619    9.0135  193.5608    0.9026    0.2797    0.7675    0.7853
        61         3    0.1125    2.0000    0.1190    2.2651    1.0000    1.0000    2.3619    9.0135  193.5608    0.9026    0.2797    0.7675    0.7853
